id,market_cap,total_volume,current_price,price_change_percentage_24h,price_change_percentage_7d_in_currency,popularity_score,trend_score,developer_activity_score,social_engagement_score,category_alleged sec securities,category_analytics,category_arbitrum ecosystem,category_artificial intelligence (ai),category_augmented reality,category_avalanche ecosystem,category_base ecosystem,category_berachain ecosystem,category_big data,category_binance launchpool,category_blast ecosystem,category_bnb chain ecosystem,category_brc-20,category_bridged usdc,category_bridged usdt,category_bridged-tokens,category_business services,category_cardano ecosystem,category_centralized exchange (cex) token,category_charity,category_communication,category_cronos ecosystem,category_crypto-backed tokens,category_decentralized exchange (dex),category_decentralized finance (defi),category_dwf labs portfolio,category_e-commerce,category_education,category_energy,category_entertainment,category_ethereum ecosystem,category_exchange-based tokens,category_fantom ecosystem,category_fraxtal ecosystem,category_ftx holdings,category_gambling (gamblefi),category_gaming (gamefi),category_healthcare,category_index,category_infrastructure,category_internet of things (iot),category_launchpad,category_layer 1 (l1),category_lending/borrowing protocols,category_liquid restaked eth,category_liquid staking,category_liquid staking governance tokens,category_liquid staking tokens,category_lp tokens,category_mantle ecosystem,category_marketing,category_meme,category_music,category_near protocol ecosystem,category_nft,category_optimism ecosystem,category_oracle,category_polkadot ecosystem,category_polygon ecosystem,category_privacy,category_retail,category_ronin ecosystem,category_rootstock ecosystem,category_scroll ecosystem,category_smart contract platform,category_socialfi,category_software as a service,category_solana ecosystem,category_stablecoins,category_starknet ecosystem,category_stellar ecosystem,category_storage,category_sui ecosystem,category_telegram apps,category_tokenized assets,category_tokenized btc,category_tokenized real estate,category_tourism,category_tron ecosystem,category_unknown,category_usd stablecoin,category_wrapped-tokens,category_xdc ecosystem,category_yield aggregator,category_yield farming,category_zksync ecosystem,chain_aelf,chain_akash,chain_aptos,chain_arbitrum-one,chain_avalanche,chain_base,chain_berachain,chain_binance-smart-chain,chain_bittensor,chain_blast,chain_cardano,chain_casper-network,chain_celo,chain_core,chain_cosmos,chain_cronos,chain_cronos-zkevm,chain_ethereum,chain_fraxtal,chain_hydration,chain_hyperevm,chain_hyperliquid,chain_initia,chain_ink,chain_internet-computer,chain_klay-token,chain_manta-pacific,chain_mantle,chain_map-protocol,chain_merlin-chain,chain_metal-l2,chain_moonbeam,chain_moonriver,chain_near-protocol,chain_neo,chain_ontology,chain_opbnb,chain_optimistic-ethereum,chain_ordinals,chain_osmosis,chain_peaq,chain_plume-network,chain_polkadot,chain_polygon-pos,chain_pulsechain,chain_ql1,chain_ronin,chain_rootstock,chain_rss3-vsl,chain_saga,chain_scroll,chain_secret,chain_solana,chain_sonic,chain_stacks,chain_starknet,chain_stellar,chain_sui,chain_supra,chain_swellchain,chain_telos,chain_terra,chain_the-open-network,chain_thorchain,chain_tron,chain_unknown,chain_vechain,chain_wax,chain_x-layer,chain_xdai,chain_xdc-network,chain_xrp,chain_zano,chain_zksync
bitcoin,1.0,0.9101102747696405,0.9520919023718489,0.2022194537759823,0.28261477079097896,0.7232232232232233,0.6843733323244219,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ethereum,0.13881888661404337,0.46739508808566965,0.021774357208853935,0.24115177988995862,0.2679647837274244,0.7232232232232233,0.684878152609542,0.9997061969769948,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
tether,0.07463136881523799,1.0,9.068836170749698e-06,0.15365332006440752,0.28865495235174515,0.4244244244244244,0.3243173334168498,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ripple,0.060669487206958854,0.07380826542542976,1.947851925977117e-05,0.23220471276304797,0.27385065296401045,0.7232232232232233,0.33722341517867477,0.995761588445849,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
binancecoin,0.0446605015967747,0.018604783929479906,0.005799344072177985,0.20102343771140452,0.2827065324626485,0.7137137137137136,0.3365537870444059,0.9959473212890967,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
solana,0.03652231424450818,0.12371508191782259,0.0013025240536959947,0.25922469260219727,0.27136692925418204,0.998998998998999,0.6731509101426488,0.997544396876429,0.2192610539067231,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
usd-coin,0.029443029216365307,0.16915422541338707,9.05887041670451e-06,0.15336879828561836,0.2886345839593193,0.6416416416416417,0.32405456186430825,0.9795267946699526,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tron,0.01240039618562698,0.01837226960543674,2.479996003324964e-06,0.20016094002002424,0.28715526536816655,0.9979979979979979,0.35289455905045414,0.9949950207238561,0.23379769836462744,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
dogecoin,0.01167962716367024,0.02694760575166843,1.477169353086681e-06,0.24478317627713628,0.26727163135490867,0.7232232232232233,0.30176720172469584,0.9981554530471485,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
staked-ether,0.010512673988019835,0.0005149199743658406,0.02175116418125786,0.24059994425159606,0.26766520704810576,0.918918918918919,0.34066787493061695,0.0,0.21320411871592965,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
