id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,query_category
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,102284.0,2032806953807,1,2032806953807.0,43607301608.0,102401.0,98467.0,2213.41,2.21185,31319568690.0,1.56481,19882568.0,19882568.0,21000000.0,111814.0,-8.54744,2025-05-22T18:41:28.492Z,67.81,150701.39854,2013-07-06T00:00:00.000Z,,2025-06-23T14:21:32.591Z,1.0041901537819027,2.2118526820891065,-5.907857421263578,-4.4357613202861526,top
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2299.29,277357910507,2,277357910507.0,19805973655.0,2302.36,2134.88,108.76,4.96507,12906448092.0,4.88046,120719795.194195,120719795.194195,,4878.26,-52.87802,2021-11-10T14:24:19.604Z,0.432979,530811.1487,2015-10-20T00:00:00.000Z,"{'times': 29.045614213293433, 'currency': 'btc', 'percentage': 2904.5614213293434}",2025-06-23T14:21:33.080Z,2.098887132925722,4.965067014502955,-9.953382966431025,-12.74196017756966,top
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,156009794663,3,156009794663.0,84840474395.0,1.0,1.0,0.00011229,0.01123,179174534.0,0.11498,155965542177.1162,155965542177.1162,,1.32,-24.39697,2018-07-24T00:00:00.000Z,0.572521,74.71851,2015-03-02T00:00:00.000Z,,2025-06-23T14:21:29.624Z,0.0040400650116696555,0.011227142882298142,0.00910151407984504,0.023820614687962267,top
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.03,119628028135,4,202942027463.0,4090935843.0,2.03,1.92,0.066583,3.39352,3972671581.0,3.43492,58938652386.0,99986013292.0,100000000000.0,3.4,-40.29397,2018-01-07T00:00:00.000Z,0.00268621,75436.98678,2014-05-22T00:00:00.000Z,,2025-06-23T14:21:33.464Z,1.332097810299475,3.3935177750195553,-13.760681346626438,-10.128942290469348,top
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,624.93,91196086228,5,91196086228.0,733521754.0,625.78,602.75,10.15,1.65134,1228372240.0,1.36535,145887575.79,145887575.79,200000000.0,788.84,-20.77718,2024-12-04T10:35:25.220Z,0.0398177,1569413.56334,2017-10-19T00:00:00.000Z,,2025-06-23T14:21:32.382Z,1.1346455849308057,1.6513383259908958,-7.222397704280587,-4.860386315028607,top
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,136.43,72506455971,6,82404527618.0,4662700988.0,136.61,127.01,8.45,6.60293,4169369576.0,6.10118,531209045.5050797,603725969.9811165,,293.31,-53.40483,2025-01-19T11:15:27.957Z,0.500801,27190.11236,2020-05-11T19:35:23.449Z,,2025-06-23T14:21:32.067Z,1.3704140919002394,6.602926328118282,-22.53843485477894,-12.751607411127027,top
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.9999,61298619150,7,61323348750.0,6620752509.0,0.999904,0.999703,9.503e-05,0.00951,52760142.0,0.08614,61304746203.60892,61329478275.82041,,1.17,-14.73567,2019-05-08T00:40:28.300Z,0.877647,13.92968,2023-03-11T08:02:13.981Z,,2025-06-23T14:21:38.322Z,0.0018176320113060733,0.009505027004511779,0.009425342980592484,0.009443356650633467,top
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.271935,25771231855,8,25771248838.0,1209378128.0,0.271933,0.259457,0.0055121,2.06893,446927637.0,1.76482,94815696758.8701,94815759243.13899,,0.431288,-36.94894,2024-12-04T00:10:40.323Z,0.00180434,14970.97618,2017-11-12T00:00:00.000Z,"{'times': 142.12389396302675, 'currency': 'usd', 'percentage': 14212.389396302673}",2025-06-23T14:21:31.652Z,0.8506195458470533,2.068926863239199,-0.05856325625819397,-2.3191412823603303,top
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.155954,23364085891,9,23372645104.0,1759608732.0,0.156052,0.144442,0.00813792,5.50543,1061890035.0,4.76137,149751366383.7052,149806226383.7052,,0.731578,-78.67739,2021-05-08T05:08:23.458Z,8.69e-05,179399.16693,2015-05-06T00:00:00.000Z,,2025-06-23T14:21:32.450Z,1.871398936665473,5.505428314486471,-31.607252025713677,-12.17323895511151,top
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2299.24,21051151530,10,21051163079.0,21872364.0,2302.12,2130.84,130.76,6.0298,991518199.0,4.94285,9159210.631704787,9159215.656414753,,4829.57,-52.43355,2021-11-10T14:40:47.256Z,482.9,375.72443,2020-12-22T04:08:21.854Z,,2025-06-23T14:21:37.654Z,2.167200050880508,6.029801911002278,-9.915884296643867,-12.772400788555105,top
